Date,Open,High,Low,Close,Adj Close,Volume
2017-02-20,79.919998,80.449997,79.260002,79.760002,74.745926,13720300
2017-02-27,79.750000,82.000000,79.589996,79.879997,74.858391,20770500
2017-03-06,79.500000,80.370003,78.809998,79.379997,74.389816,20766900
2017-03-13,79.379997,80.099998,78.830002,79.250000,74.267982,21470300
2017-03-20,79.150002,79.599998,77.059998,78.199997,73.284004,23590500
2017-03-27,77.209999,79.430000,76.669998,79.110001,74.136795,19137300
2017-04-03,79.169998,79.180000,77.150002,77.769997,72.881004,13562600
2017-04-10,77.919998,78.110001,75.699997,75.800003,71.326538,13581800
2017-04-17,75.830002,80.470001,75.510002,79.589996,74.892868,30227400
2017-04-24,80.639999,81.400002,79.050003,79.250000,74.572922,20522000
2017-05-01,79.220001,79.660004,77.879997,78.320000,73.697784,17432500
2017-05-08,78.500000,78.739998,77.220001,77.489998,72.916779,14222500
2017-05-15,77.480003,78.639999,75.970001,76.800003,72.267509,17055700
2017-05-22,76.949997,77.919998,76.500000,77.459999,72.888565,12174900
2017-05-29,77.239998,78.739998,75.980003,78.489998,73.857750,12278300
2017-06-05,78.750000,80.730003,78.290001,80.309998,75.570358,17829800
2017-06-12,80.349998,81.480003,79.620003,81.449997,76.643089,19227900
2017-06-19,81.559998,82.809998,81.290001,82.220001,77.367638,15786400
2017-06-26,82.500000,85.389999,82.440002,84.239998,79.268417,17568000
2017-07-03,84.690002,85.879997,83.720001,84.330002,79.353127,11476100
2017-07-10,84.129997,85.559998,83.540001,85.279999,80.549942,16173400
2017-07-17,85.129997,86.279999,84.529999,85.589996,80.842743,19503000
2017-07-24,85.449997,86.099998,83.330002,84.800003,80.096558,21122900
2017-07-31,85.169998,86.330002,84.839996,85.970001,81.201660,14702900
2017-08-07,86.099998,86.669998,83.970001,84.290001,79.614830,14806700
2017-08-14,84.739998,87.779999,84.720001,85.379997,80.644379,18188900
2017-08-21,85.449997,85.959999,84.699997,85.470001,80.729401,10980800
2017-08-28,85.660004,86.540001,84.400002,86.139999,81.362221,13071600
2017-09-04,85.720001,85.910004,84.019997,84.250000,79.577057,12280600
2017-09-11,84.970001,86.989998,84.970001,86.989998,82.165085,19683800
2017-09-18,87.080002,89.379997,86.949997,88.400002,83.496895,17337800
2017-09-25,88.279999,90.769997,87.839996,90.459999,85.442627,13404900
2017-10-02,90.440002,91.639999,90.099998,91.550003,86.472168,15353200
2017-10-09,91.589996,92.919998,91.260002,92.860001,88.048126,13455500
2017-10-16,93.040001,93.349998,90.040001,92.089996,87.318008,22908100
2017-10-23,92.220001,96.019997,92.220001,95.790001,90.826286,19059700
2017-10-30,95.730003,96.570000,94.519997,96.430000,91.433121,13665700
2017-11-06,96.349998,96.900002,93.279999,93.519997,88.673920,13877100
2017-11-13,93.000000,94.040001,92.779999,93.690002,88.835098,14636500
2017-11-20,93.919998,94.709999,93.470001,93.480003,88.635994,9370000
2017-11-27,93.570000,98.489998,93.360001,97.860001,92.789040,19366700
2017-12-04,98.620003,99.750000,97.480003,98.550003,93.443260,18045700
2017-12-11,98.599998,99.660004,97.150002,98.519997,93.414818,21259900
2017-12-18,99.190002,100.529999,98.209999,98.739998,93.623421,14178800
2017-12-25,98.800003,100.250000,98.129997,99.309998,94.163895,8116800
2018-01-01,99.730003,101.650002,98.220001,101.080002,95.842163,11395400
2018-01-08,101.000000,101.589996,99.930000,100.970001,96.075645,13131100
2018-01-15,102.010002,102.389999,96.349998,98.029999,93.278160,25880400
2018-01-22,97.260002,100.110001,96.839996,99.629997,94.800598,21352200
2018-01-29,99.750000,100.180000,96.639999,96.680000,91.993591,17756900
2018-02-05,95.830002,96.720001,87.540001,91.720001,87.274048,31295200
2018-02-12,92.580002,97.489998,92.419998,96.790001,92.098274,20570800
2018-02-19,96.580002,98.839996,96.500000,98.800003,94.010841,14656900
2018-02-26,99.430000,102.120003,93.199997,95.599998,90.965950,22128600
2018-03-05,95.089996,99.110001,94.279999,99.050003,94.248726,16282200
2018-03-12,99.089996,99.699997,93.959999,95.610001,90.975471,20231300
2018-03-19,95.440002,96.269997,90.410004,90.449997,86.065582,16450300
2018-03-26,91.370003,94.370003,90.800003,93.279999,88.758415,17577400
2018-04-02,93.139999,95.050003,89.959999,91.910004,87.454819,17933300
2018-04-09,92.699997,94.300003,91.360001,93.029999,88.852859,17406200
2018-04-16,93.779999,102.959999,93.110001,100.790001,96.264420,27776200
2018-04-23,100.779999,101.709999,97.900002,99.610001,95.137398,18399500
